trans_date_trans_time,cc_num,category,amt,merchant,is_fraud,year,month,day
2019-01-07 04:03:12,567868110212,grocery_pos,188.12,fraud_Kunze Inc,0,2019,1,7
2019-01-07 09:07:22,567868110212,misc_net,67.58,fraud_Dach-Nader,0,2019,1,7
2019-01-07 22:25:24,567868110212,kids_pets,137.45,"fraud_Romaguera, Wehner and Tromp",0,2019,1,7
2019-01-07 22:34:43,567868110212,personal_care,116.2,fraud_Shanahan-Lehner,0,2019,1,7
2019-01-08 05:23:29,567868110212,misc_net,36.52,fraud_Kuphal-Bartoletti,0,2019,1,8
2019-01-08 08:11:19,567868110212,grocery_net,38.75,fraud_Kutch-Hegmann,0,2019,1,8
2019-01-08 13:45:45,567868110212,travel,8.39,fraud_Turner LLC,0,2019,1,8
2019-01-08 14:14:34,567868110212,shopping_net,77.19,fraud_Lemke-Gutmann,0,2019,1,8
2019-01-08 16:23:10,567868110212,entertainment,156.31,fraud_Larson-Moen,0,2019,1,8
2019-01-08 17:08:19,567868110212,food_dining,8.61,fraud_Daugherty-Thompson,0,2019,1,8
2019-01-08 18:38:06,567868110212,shopping_pos,3.88,fraud_Kris-Padberg,0,2019,1,8
2019-01-09 15:22:06,567868110212,shopping_pos,1.2,fraud_Sawayn PLC,0,2019,1,9
2019-01-09 15:50:39,567868110212,home,56.27,fraud_Jakubowski Inc,0,2019,1,9
2019-01-10 12:01:31,567868110212,shopping_pos,4.1,fraud_Torphy-Goyette,0,2019,1,10
2019-01-10 13:29:03,567868110212,personal_care,25.59,fraud_Schmeler-Howe,0,2019,1,10
2019-01-11 13:42:08,567868110212,personal_care,35.46,fraud_Dickinson Ltd,0,2019,1,11
2019-01-11 16:24:04,567868110212,kids_pets,8.5,fraud_Bode-Rempel,0,2019,1,11
2019-01-11 18:56:26,567868110212,shopping_net,74.83,"fraud_Stanton, Jakubowski and Baumbach",0,2019,1,11
2019-01-13 13:15:55,567868110212,shopping_net,134.14,fraud_Bashirian Group,0,2019,1,13
2019-01-13 14:34:58,567868110212,shopping_pos,226.41,"fraud_Daugherty, Pouros and Beahan",0,2019,1,13
2019-01-13 16:01:30,567868110212,food_dining,36.43,fraud_Abernathy and Sons,0,2019,1,13
2019-01-13 18:00:49,567868110212,shopping_pos,4.07,fraud_Hermann and Sons,0,2019,1,13
2019-01-13 18:33:46,567868110212,health_fitness,76.27,fraud_Kub-Heaney,0,2019,1,13
2019-01-14 16:15:40,567868110212,personal_care,15.78,fraud_Hills-Boyer,0,2019,1,14
2019-01-14 17:44:56,567868110212,shopping_pos,271.98,fraud_Beier-Hyatt,0,2019,1,14
2019-01-15 02:39:55,567868110212,misc_pos,4.76,fraud_Stiedemann Inc,0,2019,1,15
2019-01-15 14:11:06,567868110212,kids_pets,107.41,"fraud_Roberts, Daniel and Macejkovic",0,2019,1,15
2019-01-16 22:35:11,567868110212,shopping_pos,72.47,"fraud_Goyette, Howell and Collier",0,2019,1,16
2019-01-17 21:42:43,567868110212,shopping_pos,197.82,fraud_Friesen Inc,0,2019,1,17
2019-01-18 04:03:22,567868110212,grocery_pos,207.48,fraud_Goodwin-Nitzsche,0,2019,1,18
2019-01-18 13:33:10,567868110212,shopping_pos,71.27,"fraud_Bernhard, Grant and Langworth",0,2019,1,18
2019-01-18 21:26:34,567868110212,personal_care,74.03,fraud_Friesen-Ortiz,0,2019,1,18
2019-01-19 07:57:51,567868110212,misc_pos,29.44,fraud_Schmeler Inc,0,2019,1,19
2019-01-19 09:40:57,567868110212,misc_net,252.21,fraud_Flatley-Durgan,0,2019,1,19
2019-01-19 17:31:50,567868110212,health_fitness,98.64,fraud_Rippin-VonRueden,0,2019,1,19
2019-01-20 05:52:22,567868110212,gas_transport,77.15,"fraud_Raynor, Reinger and Hagenes",0,2019,1,20
2019-01-20 08:41:49,567868110212,grocery_pos,213.03,"fraud_Lockman, West and Runte",0,2019,1,20
2019-01-20 23:02:10,567868110212,shopping_net,199.41,fraud_Kozey-Boehm,0,2019,1,20
2019-01-21 12:03:44,567868110212,shopping_pos,5.7,fraud_Jewess LLC,0,2019,1,21
2019-01-21 15:50:17,567868110212,travel,24.4,fraud_Bednar Inc,0,2019,1,21
2019-01-21 21:58:44,567868110212,shopping_net,104.08,fraud_Price Inc,0,2019,1,21
2019-01-21 22:55:41,567868110212,personal_care,7.87,"fraud_Zemlak, Tillman and Cremin",0,2019,1,21
2019-01-21 22:56:19,567868110212,entertainment,155.92,fraud_Upton PLC,0,2019,1,21
2019-01-22 07:32:36,567868110212,gas_transport,52.72,fraud_Koss and Sons,0,2019,1,22
2019-01-22 15:10:30,567868110212,food_dining,24.23,"fraud_Kutch, Steuber and Gerhold",0,2019,1,22
2019-01-22 18:52:05,567868110212,shopping_net,1.09,fraud_Price Inc,0,2019,1,22
2019-01-22 20:25:23,567868110212,shopping_net,3.85,fraud_Predovic Inc,0,2019,1,22
2019-01-23 07:34:45,567868110212,misc_net,28.43,"fraud_Tillman, Fritsch and Schmitt",0,2019,1,23
2019-01-23 19:59:39,567868110212,kids_pets,48.82,fraud_Little Ltd,0,2019,1,23
2019-01-24 06:19:34,567868110212,grocery_net,97.62,fraud_Rowe-Vandervort,0,2019,1,24
2019-01-24 07:33:16,567868110212,grocery_pos,186.2,fraud_Hackett-Lueilwitz,0,2019,1,24
2019-01-24 21:40:43,567868110212,misc_pos,40.82,fraud_Towne LLC,0,2019,1,24
2019-01-24 22:10:45,567868110212,entertainment,74.99,"fraud_Effertz, Welch and Schowalter",0,2019,1,24
2019-01-25 14:31:16,567868110212,shopping_net,157.1,fraud_Heathcote LLC,0,2019,1,25
2019-01-26 02:10:29,567868110212,misc_net,169.76,"fraud_Hayes, Marquardt and Dibbert",0,2019,1,26
2019-01-26 05:33:13,567868110212,grocery_pos,182.2,"fraud_Mosciski, Gislason and Mertz",0,2019,1,26
2019-01-26 05:51:18,567868110212,misc_net,9.01,"fraud_Johnson, Runolfsdottir and Mayer",0,2019,1,26
2019-01-26 21:29:11,567868110212,shopping_net,8.49,fraud_Kuhic LLC,0,2019,1,26
2019-01-27 06:32:44,567868110212,grocery_pos,193.64,"fraud_Huel, Hammes and Witting",0,2019,1,27
2019-01-27 08:04:36,567868110212,misc_pos,32.0,fraud_Bruen-Yost,0,2019,1,27
2019-01-27 08:31:41,567868110212,gas_transport,61.95,fraud_Huels-Hahn,0,2019,1,27
2019-01-27 15:49:59,567868110212,shopping_pos,4.11,"fraud_Nitzsche, Kessler and Wolff",0,2019,1,27
2019-01-27 16:45:16,567868110212,shopping_net,57.39,fraud_Mohr-Bayer,0,2019,1,27
2019-01-27 22:10:05,567868110212,shopping_net,192.08,fraud_Jast Ltd,0,2019,1,27
2019-01-28 08:22:40,567868110212,grocery_pos,203.79,fraud_Murray-Smitham,0,2019,1,28
2019-01-28 11:35:40,567868110212,misc_pos,319.92,"fraud_Boehm, Predovic and Reinger",0,2019,1,28
2019-01-28 15:56:04,567868110212,home,10.45,fraud_Lynch-Wisozk,0,2019,1,28
2019-01-28 16:25:05,567868110212,home,60.25,fraud_Berge-Ullrich,0,2019,1,28
2019-01-29 00:16:32,567868110212,grocery_net,134.93,"fraud_Swaniawski, Bahringer and Ledner",0,2019,1,29
2019-01-29 03:02:24,567868110212,grocery_pos,166.25,fraud_Rutherford-Mertz,0,2019,1,29
2019-01-29 19:55:18,567868110212,shopping_net,8.76,"fraud_Gottlieb, Considine and Schultz",0,2019,1,29
2019-01-30 06:13:25,567868110212,gas_transport,62.64,"fraud_Robel, Cummerata and Prosacco",0,2019,1,30
2019-01-31 09:09:08,567868110212,misc_net,7.88,fraud_Klocko LLC,0,2019,1,31
2019-01-31 21:29:22,567868110212,personal_care,111.11,"fraud_Berge, Kautzer and Harris",0,2019,1,31
2019-01-31 22:43:36,567868110212,shopping_pos,1.64,fraud_Stoltenberg-Beatty,0,2019,1,31
2019-02-01 03:49:39,567868110212,misc_pos,72.75,fraud_Gutmann-Upton,0,2019,2,1
2019-02-01 16:16:57,567868110212,shopping_pos,2.68,fraud_Conroy Ltd,0,2019,2,1
2019-02-01 17:32:36,567868110212,kids_pets,32.42,fraud_Cartwright PLC,0,2019,2,1
2019-02-01 18:50:05,567868110212,shopping_net,152.96,fraud_Heathcote LLC,0,2019,2,1
2019-02-02 08:59:46,567868110212,grocery_net,53.29,"fraud_Morissette, Weber and Wiegand",0,2019,2,2
2019-02-02 13:34:09,567868110212,home,67.53,fraud_Beier and Sons,0,2019,2,2
2019-02-02 23:32:33,567868110212,shopping_pos,9.52,fraud_Conroy Ltd,0,2019,2,2
2019-02-03 12:02:51,567868110212,personal_care,58.01,fraud_Schiller Ltd,0,2019,2,3
2019-02-03 12:19:00,567868110212,personal_care,13.97,fraud_Kautzer and Sons,0,2019,2,3
2019-02-03 15:15:08,567868110212,home,42.86,fraud_Reilly LLC,0,2019,2,3
2019-02-03 17:26:23,567868110212,personal_care,11.77,fraud_Erdman-Ebert,0,2019,2,3
2019-02-03 18:22:06,567868110212,shopping_net,4.31,fraud_Predovic Inc,0,2019,2,3
2019-02-03 20:35:06,567868110212,entertainment,141.87,"fraud_Cormier, Stracke and Thiel",0,2019,2,3
2019-02-04 00:43:00,567868110212,grocery_net,63.73,fraud_Kemmer-Reinger,0,2019,2,4
2019-02-04 13:58:44,567868110212,kids_pets,196.91,fraud_Schimmel-Olson,0,2019,2,4
2019-02-04 19:12:29,567868110212,entertainment,65.51,"fraud_Larkin, Stracke and Greenfelder",0,2019,2,4
2019-02-05 00:20:09,567868110212,misc_pos,106.66,fraud_Christiansen-Gusikowski,0,2019,2,5
2019-02-05 02:54:32,567868110212,misc_net,4.89,"fraud_Hayes, Marquardt and Dibbert",0,2019,2,5
2019-02-05 13:48:47,567868110212,kids_pets,8.26,fraud_Daugherty LLC,0,2019,2,5
2019-02-05 16:11:04,567868110212,health_fitness,54.06,"fraud_Ledner, Hartmann and Feest",0,2019,2,5
2019-02-05 20:59:14,567868110212,kids_pets,4.82,fraud_Wilkinson PLC,0,2019,2,5
2019-02-05 21:45:22,567868110212,food_dining,54.69,fraud_Jakubowski Group,0,2019,2,5
2019-02-05 22:18:41,567868110212,food_dining,52.74,"fraud_Schneider, Hayes and Nikolaus",0,2019,2,5
2019-02-05 23:31:04,567868110212,shopping_net,2.56,"fraud_Heathcote, Yost and Kertzmann",0,2019,2,5
2019-02-06 12:14:12,567868110212,shopping_pos,3.92,fraud_Jacobi and Sons,0,2019,2,6
2019-02-06 16:49:50,567868110212,food_dining,20.45,fraud_Will Ltd,0,2019,2,6
2019-02-07 23:23:15,567868110212,health_fitness,49.15,fraud_Thompson-Gleason,0,2019,2,7
2019-02-09 06:28:14,567868110212,grocery_net,70.58,"fraud_Stokes, Christiansen and Sipes",0,2019,2,9
2019-02-09 15:07:37,567868110212,shopping_net,8.21,fraud_Volkman-Predovic,0,2019,2,9
2019-02-09 20:57:34,567868110212,home,50.67,"fraud_McDermott, Osinski and Morar",0,2019,2,9
2019-02-09 23:07:31,567868110212,shopping_pos,1.15,fraud_Mayert Group,0,2019,2,9
2019-02-09 23:09:39,567868110212,home,21.13,fraud_Lynch-Wisozk,0,2019,2,9
2019-02-10 01:07:55,567868110212,misc_pos,28.14,fraud_Wiza LLC,0,2019,2,10
2019-02-10 03:16:08,567868110212,grocery_pos,197.38,fraud_Bauch-Raynor,0,2019,2,10
2019-02-10 05:36:38,567868110212,misc_net,7.45,fraud_Block-Parisian,0,2019,2,10
2019-02-10 13:08:56,567868110212,entertainment,24.1,fraud_Beier LLC,0,2019,2,10
2019-02-10 14:25:31,567868110212,shopping_net,9.95,fraud_Kassulke PLC,0,2019,2,10
2019-02-10 17:29:37,567868110212,shopping_pos,2.0,fraud_Barrows PLC,0,2019,2,10
2019-02-10 22:35:17,567868110212,shopping_net,81.38,fraud_Gleason-Macejkovic,0,2019,2,10
2019-02-11 01:56:59,567868110212,grocery_pos,207.63,"fraud_Mosciski, Gislason and Mertz",0,2019,2,11
2019-02-11 11:35:43,567868110212,grocery_net,57.64,fraud_Roob LLC,0,2019,2,11
2019-02-11 12:47:31,567868110212,food_dining,4.37,fraud_Haag-Blanda,0,2019,2,11
2019-02-11 16:01:10,567868110212,shopping_net,6.2,"fraud_Towne, Greenholt and Koepp",0,2019,2,11
2019-02-11 18:08:16,567868110212,food_dining,44.57,fraud_Stiedemann Ltd,0,2019,2,11
2019-02-11 19:32:07,567868110212,entertainment,19.29,fraud_Abshire PLC,0,2019,2,11
2019-02-11 22:31:26,567868110212,personal_care,12.89,"fraud_Berge, Kautzer and Harris",0,2019,2,11
2019-02-12 03:14:31,567868110212,gas_transport,69.35,fraud_Kling Inc,0,2019,2,12
2019-02-12 07:52:47,567868110212,grocery_pos,195.68,fraud_Rau and Sons,0,2019,2,12
2019-02-12 09:57:19,567868110212,grocery_pos,185.86,"fraud_Casper, Hand and Zulauf",0,2019,2,12
2019-02-12 20:53:50,567868110212,food_dining,29.99,fraud_Connelly PLC,0,2019,2,12
2019-02-12 22:01:28,567868110212,shopping_net,8.75,"fraud_Ruecker, Beer and Collier",0,2019,2,12
2019-02-13 01:26:17,567868110212,grocery_pos,182.44,"fraud_Lockman, West and Runte",0,2019,2,13
2019-02-13 13:18:05,567868110212,health_fitness,3.77,"fraud_Mante, Luettgen and Hackett",0,2019,2,13
2019-02-13 13:53:57,567868110212,shopping_pos,4.38,"fraud_Bernhard, Grant and Langworth",0,2019,2,13
2019-02-14 21:58:14,567868110212,shopping_net,1367.9,"fraud_Stanton, Jakubowski and Baumbach",0,2019,2,14
2019-02-15 16:27:01,567868110212,shopping_pos,29.96,"fraud_Goyette, Howell and Collier",0,2019,2,15
2019-02-15 22:22:46,567868110212,personal_care,32.75,fraud_Nader-Maggio,0,2019,2,15
2019-02-16 15:37:54,567868110212,home,16.94,fraud_Skiles LLC,0,2019,2,16
2019-02-17 13:14:17,567868110212,kids_pets,29.56,"fraud_Pouros, Walker and Spencer",0,2019,2,17
2019-02-17 20:45:35,567868110212,home,100.93,fraud_Schmidt-Larkin,0,2019,2,17
2019-02-17 21:48:54,567868110212,kids_pets,15.9,fraud_Bernier and Sons,0,2019,2,17
2019-02-17 23:07:35,567868110212,kids_pets,94.57,fraud_Bernier and Sons,0,2019,2,17
2019-02-18 03:56:58,567868110212,grocery_pos,206.84,fraud_Kuhic Inc,0,2019,2,18
2019-02-18 15:05:58,567868110212,shopping_pos,9.63,fraud_Jewess LLC,0,2019,2,18
2019-02-18 17:17:52,567868110212,travel,7.34,"fraud_McLaughlin, Armstrong and Koepp",0,2019,2,18
2019-02-18 23:29:20,567868110212,shopping_pos,370.74,"fraud_Goyette, Howell and Collier",0,2019,2,18
2019-02-19 01:28:40,567868110212,grocery_net,36.27,fraud_Rempel PLC,0,2019,2,19
2019-02-19 08:40:25,567868110212,misc_net,17.96,fraud_Zemlak Group,0,2019,2,19
2019-02-19 17:53:03,567868110212,shopping_pos,2.52,"fraud_Bins, Balistreri and Beatty",0,2019,2,19
2019-02-19 22:23:58,567868110212,shopping_pos,2.14,fraud_Stoltenberg-Beatty,0,2019,2,19
2019-02-20 16:25:37,567868110212,shopping_net,1.63,"fraud_Heathcote, Yost and Kertzmann",0,2019,2,20
2019-02-22 12:55:17,567868110212,kids_pets,4.29,fraud_Crona and Sons,0,2019,2,22
2019-02-22 18:44:59,567868110212,entertainment,33.21,fraud_Stark-Batz,0,2019,2,22
2019-02-22 21:01:22,567868110212,personal_care,47.11,fraud_Hills-Boyer,0,2019,2,22
2019-02-22 21:50:17,567868110212,home,85.87,"fraud_Prosacco, Kreiger and Kovacek",0,2019,2,22
2019-02-23 11:28:54,567868110212,misc_pos,2.0,fraud_Reynolds-Schinner,0,2019,2,23
2019-02-23 18:32:34,567868110212,travel,2.35,fraud_Turner LLC,0,2019,2,23
2019-02-23 21:18:23,567868110212,personal_care,17.48,"fraud_Medhurst, Cartwright and Ebert",0,2019,2,23
2019-02-24 06:06:46,567868110212,grocery_pos,233.85,"fraud_Goldner, Kovacek and Abbott",0,2019,2,24
2019-02-24 13:19:52,567868110212,shopping_pos,2.88,fraud_Hickle Group,0,2019,2,24
2019-02-24 23:00:04,567868110212,health_fitness,13.83,fraud_Graham and Sons,0,2019,2,24
2019-02-25 02:47:25,567868110212,grocery_net,89.25,fraud_Spinka-Welch,0,2019,2,25
2019-02-25 08:03:47,567868110212,gas_transport,36.64,fraud_Mraz-Herzog,0,2019,2,25
2019-02-25 12:58:22,567868110212,food_dining,20.54,"fraud_Feil, Hilpert and Koss",0,2019,2,25
2019-02-25 14:39:51,567868110212,food_dining,117.29,fraud_Kuhn Group,0,2019,2,25
2019-02-25 19:28:02,567868110212,personal_care,11.47,fraud_Wilkinson LLC,0,2019,2,25
2019-02-25 19:45:48,567868110212,kids_pets,201.37,fraud_Berge-Hills,0,2019,2,25
2019-02-25 21:42:57,567868110212,food_dining,24.25,fraud_Powlowski-Weimann,0,2019,2,25
2019-02-25 22:29:44,567868110212,shopping_pos,32.84,"fraud_Bins, Balistreri and Beatty",0,2019,2,25
2019-02-26 13:33:12,567868110212,shopping_pos,1.89,fraud_Torphy-Goyette,0,2019,2,26
2019-02-26 17:53:42,567868110212,personal_care,43.68,"fraud_Hahn, Bahringer and McLaughlin",0,2019,2,26
2019-02-26 20:48:20,567868110212,misc_pos,54.49,fraud_Buckridge PLC,0,2019,2,26
2019-02-26 21:41:22,567868110212,shopping_pos,2.42,"fraud_Roob, Conn and Tremblay",0,2019,2,26
2019-02-27 01:28:08,567868110212,grocery_pos,245.31,fraud_Koepp-Witting,0,2019,2,27
2019-02-27 05:35:22,567868110212,grocery_pos,210.19,fraud_Koepp-Witting,0,2019,2,27
2019-02-27 13:44:01,567868110212,food_dining,86.0,fraud_Zboncak LLC,0,2019,2,27
2019-02-28 04:29:14,567868110212,grocery_net,59.52,fraud_Emmerich-Luettgen,0,2019,2,28
2019-02-28 22:42:08,567868110212,personal_care,90.87,fraud_Nader-Maggio,0,2019,2,28
2019-02-28 22:47:11,567868110212,shopping_pos,2.87,fraud_Dooley Inc,0,2019,2,28
2019-02-28 23:48:43,567868110212,personal_care,2.93,fraud_Crooks and Sons,0,2019,2,28
2019-02-28 01:40:14,567868110212,grocery_pos,199.18,fraud_Koepp-Witting,0,2019,2,28
2019-02-28 06:57:49,567868110212,misc_pos,7.7,fraud_Stamm-Rodriguez,0,2019,2,28
2019-02-28 15:28:23,567868110212,entertainment,104.31,"fraud_Larkin, Stracke and Greenfelder",0,2019,2,28
2019-03-01 16:32:40,567868110212,health_fitness,2.24,fraud_Bahringer Group,0,2019,3,1
2019-03-02 13:41:50,567868110212,shopping_pos,127.2,"fraud_Swaniawski, Lowe and Robel",0,2019,3,2
2019-03-02 15:01:48,567868110212,travel,2.08,fraud_Kris-Kertzmann,0,2019,3,2
2019-03-02 19:22:33,567868110212,shopping_pos,8.25,fraud_Stoltenberg-Beatty,0,2019,3,2
2019-03-03 04:34:06,567868110212,grocery_pos,198.22,fraud_Bailey-Morar,0,2019,3,3
2019-03-03 17:06:25,567868110212,home,20.78,fraud_O'Connell-Ullrich,0,2019,3,3
2019-03-03 18:13:18,567868110212,health_fitness,7.1,fraud_Ziemann-Waters,0,2019,3,3
2019-03-04 12:16:59,567868110212,personal_care,180.07,fraud_Friesen-Ortiz,0,2019,3,4
2019-03-04 19:39:32,567868110212,entertainment,171.91,fraud_Beier LLC,0,2019,3,4
2019-03-04 20:24:52,567868110212,home,46.35,fraud_Pollich LLC,0,2019,3,4
2019-03-04 21:09:58,567868110212,travel,4.85,fraud_Treutel-King,0,2019,3,4
2019-03-04 21:35:50,567868110212,shopping_pos,161.05,"fraud_Bernhard, Grant and Langworth",0,2019,3,4
2019-03-05 08:18:09,567868110212,misc_net,14.79,fraud_Miller-Harris,0,2019,3,5
2019-03-05 10:14:15,567868110212,grocery_pos,207.41,"fraud_Goldner, Kovacek and Abbott",0,2019,3,5
2019-03-05 12:43:28,567868110212,shopping_pos,5.04,"fraud_Baumbach, Strosin and Nicolas",0,2019,3,5
2019-03-05 16:25:05,567868110212,shopping_pos,8.91,fraud_Metz-Boehm,0,2019,3,5
2019-03-05 20:07:19,567868110212,shopping_net,226.7,fraud_Ankunding LLC,0,2019,3,5
2019-03-05 21:00:28,567868110212,food_dining,88.79,fraud_Kilback LLC,0,2019,3,5
2019-03-05 21:23:38,567868110212,kids_pets,39.63,fraud_Bernier and Sons,0,2019,3,5
2019-03-05 21:57:30,567868110212,food_dining,17.77,"fraud_Turner, Ziemann and Lehner",0,2019,3,5
2019-03-05 23:53:33,567868110212,shopping_pos,9.49,"fraud_Baumbach, Strosin and Nicolas",0,2019,3,5
2019-03-06 02:52:49,567868110212,grocery_net,46.97,"fraud_Swaniawski, Bahringer and Ledner",0,2019,3,6
2019-03-07 00:40:28,567868110212,misc_net,37.97,"fraud_Moore, Dibbert and Koepp",0,2019,3,7
2019-03-07 02:18:20,567868110212,misc_pos,51.67,fraud_Dickinson Ltd,0,2019,3,7
2019-03-07 17:06:00,567868110212,kids_pets,37.76,fraud_Berge-Hills,0,2019,3,7
2019-03-07 17:10:45,567868110212,kids_pets,17.3,fraud_Waelchi Inc,0,2019,3,7
2019-03-07 20:09:01,567868110212,entertainment,63.25,fraud_Donnelly LLC,0,2019,3,7
2019-03-08 01:51:47,567868110212,grocery_pos,214.98,"fraud_Schumm, Bauch and Ondricka",0,2019,3,8
2019-03-08 05:26:41,567868110212,grocery_net,62.21,fraud_Gutmann Ltd,0,2019,3,8
2019-03-08 05:56:05,567868110212,misc_net,230.43,fraud_Kris-Weimann,0,2019,3,8
2019-03-08 14:56:32,567868110212,shopping_net,4.68,fraud_Goyette Inc,0,2019,3,8
2019-03-08 15:31:35,567868110212,food_dining,33.1,fraud_Connelly PLC,0,2019,3,8
2019-03-09 08:37:48,567868110212,gas_transport,71.69,"fraud_Schaefer, Maggio and Daugherty",0,2019,3,9
2019-03-09 13:45:23,567868110212,kids_pets,11.43,fraud_Bode-Schuster,0,2019,3,9
2019-03-09 15:23:00,567868110212,entertainment,78.82,fraud_Dare-Marvin,0,2019,3,9
2019-03-09 16:39:08,567868110212,shopping_pos,28.62,fraud_Hudson-Grady,0,2019,3,9
2019-03-09 19:42:10,567868110212,personal_care,92.12,fraud_Schiller Ltd,0,2019,3,9
2019-03-10 12:11:37,567868110212,health_fitness,76.47,fraud_Heller PLC,0,2019,3,10
2019-03-10 14:48:36,567868110212,shopping_pos,39.35,fraud_Pfeffer and Sons,0,2019,3,10
2019-03-10 18:26:55,567868110212,entertainment,25.11,"fraud_Welch, Rath and Koepp",0,2019,3,10
2019-03-10 22:09:22,567868110212,home,14.92,"fraud_Windler, Goodwin and Kovacek",0,2019,3,10
2019-03-10 23:44:34,567868110212,travel,1.29,fraud_Tromp Group,0,2019,3,10
2019-03-11 03:12:16,567868110212,grocery_net,64.64,fraud_Kutch-Hegmann,0,2019,3,11
2019-03-11 03:30:33,567868110212,grocery_pos,221.28,fraud_Bailey-Morar,0,2019,3,11
2019-03-11 06:41:55,567868110212,grocery_pos,230.75,"fraud_Huel, Hammes and Witting",0,2019,3,11
2019-03-11 11:33:07,567868110212,misc_net,250.82,"fraud_Jones, Sawayn and Romaguera",0,2019,3,11
2019-03-11 12:10:34,567868110212,travel,6.74,fraud_Mosciski Group,0,2019,3,11
2019-03-11 13:10:20,567868110212,food_dining,50.26,fraud_Haag-Blanda,0,2019,3,11
2019-03-11 16:25:47,567868110212,shopping_net,5.1,fraud_Heathcote LLC,0,2019,3,11
2019-03-11 16:42:32,567868110212,home,59.11,fraud_Altenwerth-Kilback,0,2019,3,11
2019-03-11 18:14:26,567868110212,health_fitness,18.8,"fraud_Ledner, Hartmann and Feest",0,2019,3,11
2019-03-11 18:55:35,567868110212,home,85.56,fraud_Kutch-Wilderman,0,2019,3,11
2019-03-11 23:07:36,567868110212,home,14.27,fraud_Medhurst Inc,0,2019,3,11
2019-03-12 12:52:36,567868110212,shopping_pos,3.39,fraud_Pagac LLC,0,2019,3,12
2019-03-12 19:50:48,567868110212,health_fitness,126.65,fraud_Fadel-Hilpert,0,2019,3,12
2019-03-13 01:00:13,567868110212,grocery_pos,216.73,fraud_Kilback LLC,0,2019,3,13
2019-03-13 08:46:33,567868110212,gas_transport,72.6,"fraud_Raynor, Feest and Miller",0,2019,3,13
2019-03-13 17:37:11,567868110212,personal_care,132.75,"fraud_Zemlak, Tillman and Cremin",0,2019,3,13
2019-03-13 18:38:27,567868110212,home,53.46,fraud_Medhurst Inc,0,2019,3,13
2019-03-13 21:17:13,567868110212,food_dining,12.02,fraud_Harris Group,0,2019,3,13
2019-03-14 01:07:22,567868110212,misc_pos,79.61,fraud_Stamm-Rodriguez,0,2019,3,14
2019-03-14 05:15:15,567868110212,misc_pos,6.42,"fraud_Wintheiser, Dietrich and Schimmel",0,2019,3,14
2019-03-14 20:21:33,567868110212,shopping_pos,101.96,fraud_Friesen Inc,0,2019,3,14
2019-03-14 22:35:03,567868110212,food_dining,36.55,fraud_Haag-Blanda,0,2019,3,14
2019-03-15 01:17:19,567868110212,grocery_pos,200.14,fraud_Vandervort-Funk,0,2019,3,15
2019-03-15 12:35:22,567868110212,kids_pets,48.68,fraud_Waelchi Inc,0,2019,3,15
2019-03-15 12:41:31,567868110212,entertainment,109.35,fraud_Douglas-White,0,2019,3,15
2019-03-15 15:05:18,567868110212,food_dining,51.56,fraud_McKenzie-Huels,0,2019,3,15
2019-03-15 22:16:06,567868110212,shopping_net,5.72,"fraud_Stanton, Jakubowski and Baumbach",0,2019,3,15
